model,id,bertscore_f1
GPT-4o,0,0.914506733417511
GPT-4o,1,0.9002359509468079
GPT-4o,2,0.8297216892242432
GPT-4o,3,0.835517168045044
GPT-4o,4,0.8916156888008118
GPT-4o,5,0.8041808605194092
GPT-4o,6,0.8720555901527405
GPT-4o,7,0.9041364789009094
GPT-4o,8,0.8537803292274475
GPT-4o,9,0.8805159330368042
GPT-4o,10,0.9091138243675232
GPT-4o,11,0.8835521340370178
GPT-4o,12,0.856326699256897
GPT-4o,13,0.8584347367286682
GPT-4o,14,0.8771271705627441
o3 (thinking),0,0.8657859563827515
o3 (thinking),1,0.8625826239585876
o3 (thinking),2,0.8163666725158691
o3 (thinking),3,0.7917739152908325
o3 (thinking),4,0.8717554211616516
o3 (thinking),5,0.7826884984970093
o3 (thinking),6,0.8548679947853088
o3 (thinking),7,0.8895002603530884
o3 (thinking),8,0.8741069436073303
o3 (thinking),9,0.8631505370140076
o3 (thinking),10,0.8563570380210876
o3 (thinking),11,0.8591687083244324
o3 (thinking),12,0.8297176361083984
o3 (thinking),13,0.864383339881897
o3 (thinking),14,0.8668490648269653
o4-mini-high (thinking),0,0.8839106559753418
o4-mini-high (thinking),1,0.8755486607551575
o4-mini-high (thinking),2,0.8297854065895081
o4-mini-high (thinking),3,0.8439852595329285
o4-mini-high (thinking),4,0.8831297159194946
o4-mini-high (thinking),5,0.7760756015777588
o4-mini-high (thinking),6,0.8678587079048157
o4-mini-high (thinking),7,0.8861346244812012
o4-mini-high (thinking),8,0.8699547052383423
o4-mini-high (thinking),9,0.868320882320404
o4-mini-high (thinking),10,0.8957337141036987
o4-mini-high (thinking),11,0.8847741484642029
o4-mini-high (thinking),12,0.8473755121231079
o4-mini-high (thinking),13,0.8711962103843689
o4-mini-high (thinking),14,0.8889238238334656
